SID,Time,airplane,bulldozer,bus,coconut,goat,hippo,lemon,ostrich,peach,pineapple,spaceship,turtle
1,t1,1,1,1,1,1,1,1,1,1,1,1,1
4,t1,1,1,1,1,1,1,1,1,1,1,1,1
5,t1,1,1,1,1,1,1,1,1,1,0,0,1
6,t1,0,1,1,1,1,1,1,1,1,1,1,1
7,t1,1,1,1,1,1,1,1,1,1,1,1,1
8,t1,1,1,1,1,1,1,1,1,1,0,1,1
9,t1,0,1,1,1,1,1,1,1,1,1,1,1
10,t1,1,1,1,1,1,1,1,1,1,1,1,1
11,t1,0,1,1,1,1,1,0,1,1,1,1,1
12,t1,1,1,1,1,1,1,1,1,1,1,1,1
14,t1,1,1,1,1,1,1,1,1,1,1,1,1
28,t1,1,1,1,1,1,1,1,1,1,1,1,1
31,t1,0,1,1,1,1,1,1,1,1,1,1,1
33,t1,1,1,1,1,1,1,1,1,1,1,1,1
34,t1,1,1,1,1,1,1,1,1,1,1,1,1
35,t1,1,1,1,1,1,1,1,1,1,1,1,1
36,t1,1,1,1,1,1,1,1,1,1,0,1,1
37,t1,0,1,1,1,1,1,1,1,1,1,1,1
38,t1,1,1,1,1,1,1,1,0,1,0,1,1
40,t1,0,1,0,1,1,1,1,1,1,0,1,1
1,t2,3,3,4,4,4,4,3,4,4,4,4,4
4,t2,4,4,4,4,4,4,4,4,4,4,4,4
5,t2,4,4,3,4,4,4,4,4,4,3,3,4
6,t2,4,4,4,4,4,4,0,4,4,4,4,4
7,t2,4,4,4,4,4,4,4,4,4,4,4,4
8,t2,4,4,4,4,4,3,4,3,4,3,3,4
9,t2,3,4,4,4,4,4,4,4,4,4,4,4
10,t2,4,4,4,4,4,4,4,4,4,4,4,4
11,t2,4,4,4,4,4,4,4,4,4,4,3,4
12,t2,3,4,4,4,4,3,0,4,4,4,4,4
14,t2,4,4,4,4,4,4,4,4,4,4,4,4
28,t2,4,4,4,4,4,4,4,4,4,4,3,4
31,t2,4,4,4,4,4,4,0,4,4,4,0,4
33,t2,4,4,4,4,4,4,4,4,4,4,4,4
34,t2,4,4,4,4,4,4,4,4,4,4,4,4
35,t2,4,4,4,4,4,4,3,3,4,3,4,4
36,t2,4,4,4,4,4,4,3,4,4,,0,4
37,t2,4,4,3,4,4,4,4,4,4,3,3,3
38,t2,4,4,4,4,4,4,4,4,4,4,4,4
40,t2,4,4,3,4,4,4,4,4,4,4,4,4
1,t3,0,0,0,1,0,0,0,0,1,1,1,1
4,t3,1,1,1,1,1,1,1,1,1,1,1,1
5,t3,1,1,0,1,1,1,1,1,1,0,0,1
6,t3,1,1,1,1,1,1,0,1,1,1,1,1
7,t3,1,1,1,1,1,1,1,1,1,1,0,1
8,t3,1,1,0,1,1,0,1,0,0,0,0,1
9,t3,0,1,1,1,1,1,1,1,1,0,0,1
10,t3,1,1,1,1,1,1,1,1,1,1,1,1
11,t3,1,1,1,1,1,1,0,1,1,1,1,1
12,t3,1,1,0,1,1,0,0,1,0,1,0,1
14,t3,1,1,1,1,1,1,0,1,1,1,1,1
28,t3,1,1,1,1,1,1,1,1,1,1,0,1
31,t3,0,1,1,1,1,1,0,1,1,1,0,1
33,t3,1,1,1,1,1,1,0,1,1,1,1,1
34,t3,1,1,1,1,1,1,1,1,1,1,1,1
35,t3,1,1,1,1,1,1,1,0,1,0,1,1
36,t3,1,1,1,1,1,1,0,1,1,0,0,1
37,t3,0,1,0,1,1,1,1,1,1,1,0,0
38,t3,1,1,1,1,1,1,1,1,1,1,1,1
40,t3,1,1,0,1,1,1,1,1,1,1,0,1
