SID,Time,apple,cherry,dog,helicopter,hen,melon,mouse,sailboat,strawberry,tiger,train,truck
3,t1,1,1,1,1,1,1,1,1,0,1,0,1
13,t1,1,1,1,1,1,1,1,0,0,1,1,1
15,t1,1,1,1,1,1,1,1,1,1,1,1,1
16,t1,1,1,1,1,1,1,1,1,1,1,0,1
17,t1,1,1,1,1,1,1,1,1,1,1,0,1
18,t1,1,1,1,1,1,1,1,1,1,1,1,1
19,t1,1,1,1,1,1,1,1,1,1,1,1,1
20,t1,1,1,1,1,1,1,1,1,1,1,1,1
21,t1,1,1,1,1,1,1,1,1,1,1,1,1
22,t1,1,1,1,1,1,1,1,1,1,0,1,1
23,t1,1,1,1,1,1,1,1,0,1,1,0,0
24,t1,1,1,1,1,1,1,1,1,1,1,1,1
25,t1,1,1,1,1,1,1,1,1,1,1,1,1
26,t1,1,1,1,1,1,1,1,1,1,1,1,1
27,t1,1,1,1,1,1,1,1,1,1,1,1,1
29,t1,1,1,1,1,1,1,1,1,1,1,1,1
30,t1,1,1,1,1,1,1,1,1,1,1,1,1
32,t1,1,1,1,1,1,1,1,1,1,1,1,1
41,t1,0,1,1,1,1,1,1,1,1,1,0,1
42,t1,1,1,1,1,1,1,1,1,1,1,1,1
3,t2,3,4,4,4,3,4,4,4,0,4,4,4
13,t2,3,4,4,4,4,4,4,4,3,4,4,3
15,t2,3,3,4,4,4,4,4,4,3,4,4,3
16,t2,4,4,4,4,4,4,4,4,3,4,3,4
17,t2,4,4,4,4,4,4,4,4,4,4,4,4
18,t2,4,4,4,4,4,4,4,4,4,4,4,4
19,t2,4,4,4,4,4,4,4,4,4,4,4,3
20,t2,4,4,4,4,4,4,4,4,4,4,4,4
21,t2,4,4,3,4,3,4,4,4,4,4,0,3
22,t2,4,4,4,4,4,4,4,4,4,4,4,4
23,t2,3,0,4,4,4,4,4,3,3,4,4,4
24,t2,4,4,4,4,4,4,4,4,4,4,4,4
25,t2,4,4,4,4,4,4,4,4,4,4,4,4
26,t2,3,4,4,4,4,4,4,4,3,4,4,4
27,t2,4,4,4,4,4,4,4,4,4,4,4,4
29,t2,4,4,4,4,0,0,4,4,4,4,0,4
30,t2,4,4,4,4,4,4,4,4,4,4,4,4
32,t2,4,4,4,4,4,4,4,4,3,4,4,4
41,t2,3,4,3,4,0,4,4,4,0,4,4,3
42,t2,4,4,4,4,4,4,4,4,4,4,4,4
3,t3,1,1,1,1,0,1,1,1,0,1,0,1
13,t3,0,1,1,1,1,1,1,1,0,1,0,0
15,t3,0,1,0,1,0,1,1,1,1,1,1,0
16,t3,0,1,0,1,1,0,1,1,0,1,0,1
17,t3,1,0,1,1,1,1,1,1,0,1,1,1
18,t3,1,1,1,1,1,1,1,1,1,1,1,1
19,t3,1,1,1,1,1,1,1,1,1,1,1,0
20,t3,1,1,1,1,1,1,0,1,1,1,1,1
21,t3,0,1,0,1,0,1,1,1,0,0,0,1
22,t3,1,1,1,1,0,1,1,1,1,1,1,1
23,t3,0,0,0,1,1,1,1,0,0,1,0,1
24,t3,1,1,1,1,1,1,1,1,1,1,1,1
25,t3,1,1,1,1,1,1,1,1,1,1,1,1
26,t3,0,1,1,1,1,1,1,1,0,1,0,1
27,t3,1,1,1,1,1,1,1,1,1,1,1,1
29,t3,0,1,1,1,0,0,1,1,1,1,0,0
30,t3,1,1,1,0,0,1,0,1,1,1,1,0
32,t3,0,1,0,1,1,1,1,1,0,1,1,0
41,t3,0,1,0,1,0,1,1,1,0,1,1,1
42,t3,1,1,1,1,1,1,1,1,1,1,1,1
